2016年 05月 19日 星期四 15:24:02 CST
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.00703            736.202
           0        tcp     0     1         3.00722            753.519
           0        tcp     0     1           4.012             737.85
           0        tcp     0     1          5.0146             739.45
           0        tcp     0     1         6.01624            740.161
           0        tcp     0     1         7.01817            703.161
           0        tcp     0     1         8.02093            763.838
           0        tcp     0     1         9.02177            703.923
           0        tcp     0     1         10.0266             729.66
           0        tcp     0     1          11.029            739.604
           0        tcp     0     1         12.0312            768.379
           0        tcp     0     1         13.0351            750.686
           0        tcp     0     1         14.0369             764.62
           0        tcp     0     1         15.0386            748.282
           0        tcp     0     1         16.0429            746.378
           0        tcp     0     1         17.0483            737.335
           0        tcp     0     1          18.055            708.029
           0        tcp     0     1         19.0635            714.815
           0        tcp     0     1         20.0674            709.904
           0        tcp     0     1          21.069             736.08
           0        tcp     0     1         22.0715            727.322
           0        tcp     0     1         23.0774            700.357
           0        tcp     0     1         24.0778            720.568
           0        tcp     0     1         25.0794            695.222
           0        tcp     0     1         26.0797            716.598
           0        tcp     0     1         27.0818            743.909
           0        tcp     0     1         28.0858            766.987
           0        tcp     0     1         29.0884            698.634
           0        tcp     0     1         30.0911            722.989
           0        tcp     0     1         31.0931            723.597
           0        tcp     0     1         32.0942            707.805
           0        tcp     0     1         33.0993            721.328
           0        tcp     0     1         34.1016            735.575
           0        tcp     0     1         35.1065             733.69
           0        tcp     0     1         36.1074            740.717
           0        tcp     0     1         37.1091            707.394
           0        tcp     0     1         38.1126            734.692
           0        tcp     0     1          39.113            745.153
           0        tcp     0     1         40.1181            741.715
           0        tcp     0     1         41.1183            733.042
           0        tcp     0     1         42.1198            703.434
           0        tcp     0     1         43.1222            719.152
           0        tcp     0     1         44.1258            738.762
           0        tcp     0     1         45.1317            708.531
           0        tcp     0     1         46.1347            747.288
           0        tcp     0     1         47.1354            724.515
           0        tcp     0     1         48.1421            744.547
           0        tcp     0     1         49.1433            740.524
           0        tcp     0     1         50.1484            729.416
           0        tcp     0     1         51.1527            713.798
           0        tcp     0     1         52.1542            723.856
           0        tcp     0     1         53.1551            757.095
           0        tcp     0     1         54.1583             726.76
           0        tcp     0     1         55.1638             721.03
           0        tcp     0     1          56.164            733.037
           0        tcp     0     1         57.1676            746.901
           0        tcp     0     1         58.1713            738.586
           0        tcp     0     1         59.1721            753.094
           0        tcp     0     1         60.1734            699.529
           0        tcp     0     1          61.178            733.881
           0        tcp     0     1         62.1804            706.892
           0        tcp     0     1         63.1876            719.807
           0        tcp     0     1         64.1943            732.373
           0        tcp     0     1         65.1997            700.726
           0        tcp     0     1         66.2016             735.89
           0        tcp     0     1         67.2041            682.335
           0        tcp     0     1         68.2071            747.357
           0        tcp     0     1          69.208            716.143
           0        tcp     0     1         70.2083            732.969
           0        tcp     0     1         71.2108            706.835
           0        tcp     0     1         72.2132            747.793
           0        tcp     0     1         73.2195            744.821
           0        tcp     0     1          74.223             710.27
           0        tcp     0     1         75.2299            736.297
           0        tcp     0     1         76.2318            715.446
           0        tcp     0     1         77.2332            752.567
           0        tcp     0     1         78.2349            760.595
           0        tcp     0     1           79.24            753.881
           0        tcp     0     1         80.2403            745.272
           0        tcp     0     1          81.254            707.097
           0        tcp     0     1         82.2549            736.587
           0        tcp     0     1         83.2616            732.441
           0        tcp     0     1         84.2659            713.688
           0        tcp     0     1         85.2682            702.875
           0        tcp     0     1          86.278            685.564
           0        tcp     0     1         87.2817            730.414
           0        tcp     0     1          88.287            745.687
           0        tcp     0     1         89.2886            744.244
           0        tcp     0     1         90.2896            740.651
           0        tcp     0     1         91.2946            729.538
           0        tcp     0     1         92.2971            710.913
           0        tcp     0     1         93.3019            737.836
           0        tcp     0     1         94.3046            727.137
           0        tcp     0     1         95.3092            766.471
           0        tcp     0     1         96.3124            685.969
           0        tcp     0     1          97.317            729.807
           0        tcp     0     1         98.3187            711.517
           0        tcp     0     1         99.3208            756.163
           0        tcp     0     1         100.324            706.519
           0        tcp     0     1          101.33            716.603
           0        tcp     0     1         102.333            718.703
           0        tcp     0     1         103.338            745.882
           0        tcp     0     1         104.339            711.764
           0        tcp     0     1         105.344            737.461
           0        tcp     0     1         106.345            712.247
           0        tcp     0     1         107.349            725.919
           0        tcp     0     1         108.353            754.894
           0        tcp     0     1         109.354            744.584
           0        tcp     0     1         110.356             711.47
           0        tcp     0     1         111.358            728.032
           0        tcp     0     1         112.359            740.606
           0        tcp     0     1         113.359            741.079
           0        tcp     0     1         114.361            739.762
           0        tcp     0     1         115.362            745.031
           0        tcp     0     1         116.362            736.834
           0        tcp     0     1         117.372            722.352
           0        tcp     0     1         118.374            715.049
           0        tcp     0     1         119.375            728.325
           0        tcp     0     1         120.377            715.663
           0        tcp     0     1         121.377            720.828
           0        tcp     0     1         122.378             740.67
           0        tcp     0     1         123.379            744.924
           0        tcp     0     1         124.379            724.338
           0        tcp     0     1         125.387             691.38
           0        tcp     0     1         126.392            717.047
           0        tcp     0     1         127.394            711.532
           0        tcp     0     1         128.396             727.17
           0        tcp     0     1           129.4            722.044
           0        tcp     0     1         130.403            722.935
           0        tcp     0     1         131.405            728.068
           0        tcp     0     1         132.406            716.011
           0        tcp     0     1         133.409             742.72
           0        tcp     0     1         134.411            707.571
           0        tcp     0     1         135.412             732.64
           0        tcp     0     1         136.416            729.882
           0        tcp     0     1         137.423            704.043
           0        tcp     0     1         138.424            752.676
           0        tcp     0     1         139.425            761.017
           0        tcp     0     1         140.428            763.859
           0        tcp     0     1         141.428            732.984
           0        tcp     0     1         142.431            743.062
           0        tcp     0     1         143.435             762.81
           0        tcp     0     1         144.437            703.509
           0        tcp     0     1          145.44            763.712
           0        tcp     0     1         146.443            730.535
           0        tcp     0     1         147.448            689.002
           0        tcp     0     1          148.45            748.143
           0        tcp     0     1         149.454            734.473
           0        tcp     0     1         150.456            748.282
           0        tcp     0     1         151.457            756.856
           0        tcp     0     1         152.462            762.138
           0        tcp     0     1         153.466            725.985
           0        tcp     0     1         154.468            731.698
           0        tcp     0     1         155.471            763.506
           0        tcp     0     1         156.476            717.634
           0        tcp     0     1         157.481            729.593
           0        tcp     0     1         158.486            741.763
           0        tcp     0     1         159.494            735.282
           0        tcp     0     1         160.498            738.317
           0        tcp     0     1         161.505             703.94
           0        tcp     0     1         162.511            732.501
           0        tcp     0     1         163.516            713.599
           0        tcp     0     1         164.521            745.494
           0        tcp     0     1         165.522            740.457
           0        tcp     0     1         166.523            699.888
           0        tcp     0     1         167.527            726.046
           0        tcp     0     1          168.53            743.576
           0        tcp     0     1         169.535            733.879
           0        tcp     0     1         170.538            710.032
           0        tcp     0     1         171.543            721.978
           0        tcp     0     1         172.543            769.361
           0        tcp     0     1         173.544             728.99
           0        tcp     0     1         174.544            716.155
           0        tcp     0     1         175.548            718.308
           0        tcp     0     1         176.551            718.528
           0        tcp     0     1         177.555            734.324
           0        tcp     0     1         178.557            715.699
           0        tcp     0     1          179.56            714.734
           0        tcp     0     1         180.561            732.566
           0        tcp     0     1         181.564            759.658
           0        tcp     0     1         182.566            715.042
           0        tcp     0     1         183.573            756.504
           0        tcp     0     1         184.575            736.117
           0        tcp     0     1         185.576            691.089
           0        tcp     0     1         186.577            708.138
           0        tcp     0     1         187.579             747.81
           0        tcp     0     1         188.584            717.661
           0        tcp     0     1         189.587            726.726
           0        tcp     0     1          190.59            734.939
           0        tcp     0     1         191.591             753.01
           0        tcp     0     1         192.592            716.169
           0        tcp     0     1         193.596            738.341
           0        tcp     0     1         194.596            712.462
           0        tcp     0     1         195.599            735.614
           0        tcp     0     1           196.6            769.432
           0        tcp     0     1         197.601            719.761
           0        tcp     0     1         198.605            742.359
           0        tcp     0     1         199.609            754.887
           0        tcp     0     1          200.61            720.159
           0        tcp     0     1         201.615            721.265
           0        tcp     0     1         202.616            728.591
           0        tcp     0     1         203.618            707.422
           0        tcp     0     1         204.618            733.006
           0        tcp     0     1         205.619            715.886
           0        tcp     0     1         206.622            718.658
           0        tcp     0     1         207.623            732.393
